@400000005e70813f0a382e00 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e70813f34361ae9 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7081ec062e13b2 #d,-,18,2853,2368,1232,132,0,201335,12482,2853,2369,1236,2851,2366,1216,98,100,0,501,2890;
@400000005e7081ec06386c61 #d,-,18,2859,2368,1212,133,0,201253,12477,2859,2369,1238,2853,2366,1212,97,100,0,501,2929;
@400000005e7081ee06456bfe #d,-,18,2861,2368,1211,134,0,201281,12479,2861,2369,1243,2859,2366,1208,98,100,0,501,2910;
@400000005e7081ee064ca3bd #d,-,18,2860,2367,1329,135,0,201314,12481,2861,2368,1329,2860,2366,1210,98,100,0,501,2894;
@400000005e7081f0065798e2 #d,-,18,3105,2367,1154,135,0,201413,12487,3105,2368,1431,2860,2364,1154,99,100,0,501,3111;
@400000005e7081f0065e3f57 #d,-,18,2863,2367,1222,136,0,201445,12489,3105,2368,1255,2863,2365,1154,98,100,0,501,2915;
@400000005e7081f20668e9fa #d,-,18,2864,2368,1232,137,0,201477,12491,2864,2368,1236,2863,2365,1222,98,100,0,501,2910;
@400000005e7081f2066f915e #d,-,18,2867,2365,1208,138,0,201618,12500,2867,2368,1253,2864,2365,1208,98,100,0,501,2915;
@400000005e7081f4067c6e86 #d,-,18,2865,2367,1209,139,0,201515,12493,2867,2368,1214,2865,2364,1205,98,100,0,501,2895;
@400000005e7081f406856e9d #d,-,18,2862,2366,1207,140,0,201525,12494,2865,2368,1216,2862,2366,1207,99,100,0,501,2867;
@400000005e7081f6069600ca #d,-,18,2858,2367,1217,140,0,201536,12495,2862,2368,1217,2858,2366,1204,99,100,0,501,2869;
@400000005e7081f606a0e61a #d,-,18,2858,2367,1417,141,0,201697,12505,2858,2368,1417,2858,2363,1186,99,100,0,501,2881;
@400000005e7081f806b0dbd0 #d,-,18,3093,2366,1211,142,0,201667,12503,3093,2368,1432,2858,2365,1210,99,100,0,501,3114;
@400000005e7081f806bb30c5 #d,-,18,2862,2365,1109,143,0,201639,12501,3093,2368,1222,2862,2365,1108,98,100,0,501,2910;
@400000005e7081fa06cd9766 #d,-,18,2635,2365,1104,143,0,201670,12503,2862,2367,1148,2635,2364,1098,98,100,0,501,2687;
@400000005e7081fa06db3bdb #d,-,18,2582,2366,1217,144,0,201513,12493,2635,2368,1222,2582,2365,1104,98,100,0,501,2625;
@400000005e7081fc06eacfc8 #d,-,18,2695,2368,1087,145,0,201420,12488,2695,2368,1217,2582,2364,1061,98,100,0,501,2739;
@400000005e7081fc06f514e7 #d,-,18,2564,2367,1153,146,0,201359,12484,2695,2368,1198,2564,2365,1084,99,100,0,501,2580;
