@400000005e1d72a1179942a6 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e1d72a205e5f705 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e1d7338127a31d3 #d,-,18,2684,2332,1160,110,0,192487,11934,2685,2332,1161,2684,2329,1159,99,100,0,500,2710;
@400000005e1d7338128491f5 #d,-,18,2684,2330,1160,111,0,192483,11933,2684,2332,1161,2684,2330,1159,99,100,0,500,2710;
@400000005e1d733a1293d033 #d,-,18,2683,2332,1159,112,0,192478,11933,2684,2332,1161,2683,2329,1159,98,100,0,500,2712;
@400000005e1d733a129e01c3 #d,-,18,2685,2332,1153,112,0,192487,11934,2685,2333,1192,2683,2331,1152,98,100,0,500,2724;
@400000005e1d733c12a66653 #d,-,18,2685,2331,1158,113,0,192483,11933,2685,2333,1161,2685,2331,1153,98,100,0,500,2723;
@400000005e1d733c12ab6b8d #d,-,18,2684,2331,1160,114,0,192479,11933,2685,2332,1160,2684,2330,1157,99,100,0,500,2710;
@400000005e1d733e12ba0d54 #d,-,18,2683,2331,1161,115,0,192476,11933,2684,2331,1161,2683,2330,1159,99,100,0,500,2710;
@400000005e1d733e12c48d20 #d,-,18,2682,2335,1157,115,0,192472,11933,2683,2335,1161,2682,2330,1157,98,100,0,500,2710;
@400000005e1d734012cda0c7 #d,-,18,2684,2335,1151,116,0,192482,11933,2684,2335,1189,2682,2334,1151,98,100,0,500,2721;
@400000005e1d734012d889d0 #d,-,18,2684,2336,1157,117,0,192478,11933,2684,2336,1160,2684,2334,1150,98,100,0,500,2728;
@400000005e1d734212e900fa #d,-,18,2683,2334,1158,118,0,192474,11933,2684,2336,1159,2683,2333,1156,99,100,0,500,2710;
@400000005e1d734212f3611c #d,-,18,2683,2335,1157,118,0,192471,11933,2683,2335,1158,2683,2334,1156,99,100,0,500,2710;
@400000005e1d73441303ad6f #d,-,18,2682,2337,1156,119,0,192466,11932,2683,2338,1158,2682,2335,1154,98,100,0,500,2710;
@400000005e1d7344130e24da #d,-,18,2682,2338,1155,120,0,192476,11933,2682,2338,1189,2682,2334,1155,98,100,0,500,2712;
@400000005e1d734613168d23 #d,-,18,2684,2337,1155,120,0,192470,11933,2684,2339,1157,2682,2337,1147,98,100,0,500,2733;
@400000005e1d7346131c74ac #d,-,18,2683,2336,1157,121,0,192467,11933,2684,2337,1157,2683,2336,1155,98,100,0,500,2712;
@400000005e1d7348132784d3 #d,-,18,2682,2336,1157,122,0,192464,11932,2683,2336,1158,2682,2334,1156,98,100,0,500,2710;
@400000005e1d734813328525 #d,-,18,2682,2338,1156,123,0,192460,11932,2682,2338,1158,2682,2335,1155,98,100,0,500,2710;
@400000005e1d734a13432727 #d,-,18,2681,2337,1170,123,0,192471,11933,2682,2338,1189,2681,2336,1156,98,100,0,500,2710;
@400000005e1d734a134d8b02 #d,-,18,2684,2335,1157,124,0,192466,11932,2684,2337,1170,2681,2335,1150,98,100,0,500,2737;
@400000005e1d734c13575ac9 #d,-,18,2683,2335,1156,125,0,192463,11932,2684,2336,1158,2683,2334,1156,99,100,0,500,2710;
@400000005e1d734c13627ac5 #d,-,18,2682,2335,1156,126,0,192459,11932,2683,2336,1157,2682,2335,1155,98,100,0,500,2710;
@400000005e1d734e136d2922 #d,-,18,2682,2337,1157,126,0,192455,11932,2682,2337,1157,2682,2335,1156,99,100,0,500,2708;
@400000005e1d734e137780e2 #d,-,18,2681,2337,1196,127,0,192469,11933,2682,2338,1199,2681,2337,1156,98,100,0,500,2712;
@400000005e1d73501383fc40 #d,-,18,2687,2337,1275,128,0,192613,11942,2687,2339,1289,2681,2337,1159,97,100,0,500,2755;
@400000005e1d7350138b7e80 #d,-,18,2750,2336,1159,129,0,192499,11934,2750,2337,1275,2687,2333,1136,98,100,0,500,2790;
@400000005e1d73521396194e #d,-,18,2684,2339,1161,129,0,192608,11941,2750,2339,1161,2684,2336,1155,98,100,0,500,2714;
@400000005e1d735213a06e43 #d,-,18,2684,2338,1160,130,0,192498,11934,2684,2340,1161,2684,2338,1158,98,100,0,500,2721;
@400000005e1d735413aec589 #d,-,18,2684,2339,1190,131,0,192508,11935,2684,2340,1190,2684,2338,1159,98,100,0,500,2717;
@400000005e1d735413b97c48 #d,-,18,2688,2340,1162,132,0,192509,11935,2688,2340,1190,2684,2338,1152,97,100,0,500,2748;
@400000005e1d735613c9991c #d,-,18,2688,2340,1160,132,0,192511,11935,2688,2341,1162,2688,2339,1160,98,100,0,500,2721;
@400000005e1d735613d40559 #d,-,18,2688,2342,1158,133,0,192511,11935,2688,2342,1161,2688,2339,1157,98,100,0,500,2723;
@400000005e1d735813e492de #d,-,18,2687,2340,1158,134,0,192510,11935,2688,2342,1159,2687,2339,1157,98,100,0,500,2717;
@400000005e1d735813eec0b5 #d,-,18,2687,2341,1188,135,0,192517,11936,2687,2342,1188,2687,2340,1156,98,100,0,500,2719;
@400000005e1d735a13f75c37 #d,-,18,2691,2342,1159,135,0,192522,11936,2691,2342,1189,2687,2339,1152,97,100,0,500,2748;
@400000005e1d735a14026b70 #d,-,18,2690,2337,1160,136,0,192521,11936,2691,2342,1160,2690,2336,1158,99,100,0,500,2716;
