@400000005e81963533d3752b #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e8196362223c746 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e8196ce2ee7085a #d,-,18,2449,2404,1122,104,0,179572,11133,2449,2404,1127,2302,2401,1119,89,100,0,500,2746;
@400000005e8196d02ef4202f #d,-,18,2448,2401,1124,105,0,179544,11131,2449,2404,1125,2448,2400,1119,89,100,0,500,2739;
@400000005e8196d02efd5828 #d,-,18,2447,2400,1123,106,0,179632,11137,2448,2403,1125,2447,2400,1118,89,100,0,500,2739;
@400000005e8196d22f0b12f7 #d,-,18,2446,2402,1127,106,0,179487,11128,2447,2403,1127,2446,2400,1120,89,100,0,500,2742;
@400000005e8196d22f13d951 #d,-,18,2446,2402,1129,107,0,179464,11126,2446,2402,1132,2446,2400,1122,89,100,0,500,2742;
@400000005e8196d42f212f8b #d,-,18,2447,2401,1116,108,0,179439,11125,2447,2403,1130,2446,2401,1115,88,100,0,500,2756;
@400000005e8196d42f2a344b #d,-,18,2446,2403,1118,108,0,179410,11123,2447,2403,1125,2446,2400,1116,89,100,0,500,2742;
@400000005e8196d62f374004 #d,-,18,2445,2403,1122,109,0,179382,11121,2446,2404,1124,2445,2401,1117,89,100,0,500,2734;
@400000005e8196d62f3ffa42 #d,-,18,2444,2401,1117,110,0,179353,11119,2445,2403,1125,2444,2401,1117,89,100,0,500,2737;
@400000005e8196d82f4f1163 #d,-,18,2443,2401,1122,110,0,179330,11118,2444,2403,1132,2443,2401,1117,89,100,0,500,2739;
@400000005e8196d82f58a2c3 #d,-,18,2443,2402,1122,111,0,179414,11123,2443,2402,1126,2443,2400,1120,89,100,0,500,2744;
@400000005e8196da2f6782f1 #d,-,18,2443,2401,1211,112,0,179324,11118,2443,2403,1228,2443,2400,1120,89,100,0,500,2739;
@400000005e8196da2f70de4e #d,-,18,2679,2401,1279,112,0,179461,11126,2679,2403,1303,2443,2400,1195,91,100,0,500,2917;
@400000005e8196dc2f7ec4e3 #d,-,18,2854,2403,1276,113,0,179615,11136,2854,2403,1283,2679,2401,1272,91,100,0,500,3116;
@400000005e8196dc2f8859fd #d,-,18,2854,2403,1278,114,0,179768,11145,2854,2403,1279,2854,2401,1275,91,100,0,500,3111;
@400000005e8196de2f97419e #d,-,18,2853,2403,1272,115,0,179918,11154,2854,2403,1278,2853,2401,1272,91,100,0,501,3109;
@400000005e8196de2fa0a46e #d,-,18,2757,2404,1114,116,0,180027,11161,2853,2404,1277,2757,2401,1038,89,100,0,501,3064;
@400000005e8196e02fae5411 #d,-,18,2423,2404,1122,116,0,179889,11153,2757,2404,1129,2423,2401,1106,89,100,0,501,2715;
@400000005e8196e02fb6e732 #d,-,18,2424,2404,1121,117,0,179860,11151,2424,2404,1125,2423,2402,1120,88,100,0,501,2737;
@400000005e8196e22fc4af0b #d,-,18,2426,2403,1124,118,0,179831,11149,2426,2404,1126,2424,2401,1119,88,100,0,501,2739;
@400000005e8196e22fcd6590 #d,-,18,2427,2402,1120,118,0,179802,11147,2427,2403,1125,2426,2401,1120,88,100,0,501,2737;
@400000005e8196e42fda0bc5 #d,-,18,2429,2400,1133,119,0,179880,11152,2429,2403,1133,2427,2400,1119,88,100,0,501,2737;
@400000005e8196e42fe35ec0 #d,-,18,2431,2401,1127,120,0,179858,11151,2431,2403,1133,2429,2400,1125,88,100,0,501,2749;
@400000005e8196e62ff12965 #d,-,18,2434,2402,1121,120,0,179728,11143,2434,2403,1132,2431,2401,1117,88,100,0,501,2751;
@400000005e8196e62ff9c12d #d,-,18,2434,2402,1119,121,0,179700,11141,2434,2402,1125,2434,2400,1117,89,100,0,501,2734;
@400000005e8196e8300745f9 #d,-,18,2435,2403,1123,122,0,179676,11139,2435,2403,1127,2434,2400,1119,88,100,0,501,2737;
@400000005e8196e830106201 #d,-,18,2435,2400,1127,122,0,179651,11138,2435,2403,1127,2435,2400,1119,88,100,0,501,2739;
@400000005e8196ea301f61d9 #d,-,18,2437,2400,1125,123,0,179728,11143,2437,2402,1133,2435,2399,1118,88,100,0,501,2749;
@400000005e8196ea3028dfab #d,-,18,2437,2402,1123,124,0,179702,11141,2437,2402,1127,2437,2399,1120,88,100,0,501,2739;
@400000005e8196ec3037f6cb #d,-,18,2521,2400,1299,124,0,179677,11140,2521,2402,1299,2437,2399,1121,90,100,0,501,2789;
@400000005e8196ec30414164 #d,-,18,2791,2400,1275,125,0,179816,11148,2791,2401,1307,2521,2399,1266,91,100,0,501,3043;
