@400000005e22b91826dc7c68 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e22b9191522c7ca #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e22b9c3229234a4 #d,-,18,2930,2347,1265,134,0,205798,12759,2931,2348,1278,2930,2346,1230,99,99,0,500,2959;
@400000005e22b9c5229b34bb #d,-,18,2929,2346,1235,135,0,205935,12767,2930,2348,1277,2929,2346,1229,99,99,0,500,2943;
@400000005e22b9c522a21312 #d,-,18,2928,2345,1276,136,0,205962,12769,2929,2347,1279,2928,2345,1230,98,99,0,500,2963;
@400000005e22b9c722ae10b5 #d,-,18,2930,2346,1228,137,0,205870,12763,2930,2346,1290,2928,2345,1228,98,99,0,500,2963;
@400000005e22b9c722b85e37 #d,-,18,2931,2346,1277,138,0,205896,12765,2931,2346,1281,2930,2345,1228,98,99,0,500,2972;
@400000005e22b9c922c04d6e #d,-,18,2928,2345,1216,138,0,206027,12773,2931,2346,1278,2928,2345,1216,99,99,0,500,2942;
@400000005e22b9c922c3eb2a #d,-,18,2923,2345,1228,139,0,206029,12773,2928,2345,1265,2923,2344,1202,100,99,0,500,2923;
@400000005e22b9cb22c9d66d #d,-,18,2918,2346,1231,140,0,206021,12773,2923,2346,1239,2918,2345,1208,99,99,0,500,2922;
@400000005e22b9cb22ccdc5b #d,-,18,2913,2346,1243,141,0,205924,12767,2918,2346,1265,2913,2345,1231,100,99,0,500,2913;
@400000005e22b9cd22d4713b #d,-,18,2909,2348,1212,141,0,205918,12766,2913,2349,1252,2909,2346,1210,99,99,0,500,2913;
@400000005e22b9cd22db5abe #d,-,18,2906,2349,1242,142,0,205918,12766,2909,2349,1256,2906,2348,1207,99,99,0,500,2911;
@400000005e22b9cf22ebae85 #d,-,18,2845,2348,1232,143,0,205920,12767,2906,2349,1263,2845,2348,1206,98,99,0,500,2885;
@400000005e22b9cf22f5fb18 #d,-,18,2902,2348,1238,144,0,205922,12767,2902,2348,1264,2845,2348,1213,99,99,0,500,2918;
@400000005e22b9d123051e53 #d,-,18,2900,2349,1241,145,0,206058,12775,2902,2349,1273,2900,2348,1238,99,99,0,500,2926;
