@400000005e786b431b8d600a #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e786b4409ea34f7 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e786bee17c0a437 #d,-,18,2438,2361,1126,125,0,192387,11928,2440,2362,1133,2438,2360,1124,90,99,0,500,2708;
@400000005e786bee17c9200f #d,-,18,2437,2361,1130,125,0,192393,11928,2438,2362,1131,2437,2360,1121,89,99,0,500,2711;
@400000005e786bf017d6209b #d,-,18,2435,2362,1126,126,0,192283,11921,2437,2362,1131,2435,2361,1122,89,99,0,500,2706;
@400000005e786bf017deb002 #d,-,18,2434,2363,1130,127,0,192066,11908,2435,2364,1132,2434,2362,1123,89,99,0,500,2708;
@400000005e786bf217eb75e2 #d,-,18,2432,2361,1126,127,0,191961,11901,2434,2363,1130,2432,2361,1121,89,99,0,500,2708;
@400000005e786bf217f43b4d #d,-,18,2431,2362,1126,128,0,191857,11895,2432,2363,1131,2431,2361,1121,89,99,0,500,2706;
@400000005e786bf4180166b0 #d,-,18,2431,2361,1125,129,0,191753,11888,2431,2362,1129,2431,2361,1121,89,99,0,500,2704;
@400000005e786bf41809d66d #d,-,18,2429,2362,1124,129,0,191652,11882,2431,2362,1132,2429,2360,1120,89,99,0,500,2706;
@400000005e786bf61816ea87 #d,-,18,2429,2362,1129,130,0,191551,11876,2429,2363,1130,2429,2361,1123,89,99,0,500,2704;
@400000005e786bf6181fac39 #d,-,18,2428,2362,1127,131,0,191452,11870,2429,2363,1133,2428,2362,1123,89,99,0,500,2706;
@400000005e786bf8182eef1f #d,-,18,2428,2360,1467,131,0,191431,11868,2428,2363,1467,2428,2360,1125,89,99,0,500,2706;
@400000005e786bf8183887f3 #d,-,18,3008,2361,1549,132,0,191747,11888,3008,2361,1594,2428,2360,1434,94,99,0,500,3171;
@400000005e786bfa1847aee8 #d,-,18,3555,2363,1238,133,0,191954,11901,3555,2364,1569,3008,2360,1160,95,99,0,500,3723;
@400000005e786bfa185137e8 #d,-,18,2958,2361,1252,134,0,192044,11906,3555,2363,1403,2958,2361,1238,90,99,0,500,3256;
@400000005e786bfc1860b0d2 #d,-,18,2757,2360,1152,135,0,192008,11904,2958,2363,1252,2757,2360,1146,91,99,0,500,3021;
@400000005e786bfc186a2377 #d,-,18,2886,2358,1597,136,0,192304,11922,2886,2360,1603,2757,2358,1152,94,99,0,500,3059;
@400000005e786bfe18799046 #d,-,18,3495,2359,1240,137,0,192578,11939,3495,2359,1597,2886,2356,1240,94,99,0,500,3680;
@400000005e786bfe1882cbf8 #d,-,18,3080,2359,1295,137,0,192637,11943,3495,2360,1379,3080,2358,1133,91,99,0,500,3353;
@400000005e786c001892931d #d,-,18,2785,2363,1148,138,0,192610,11941,3080,2363,1295,2785,2359,1148,91,99,0,500,3052;
@400000005e786c00189c14a9 #d,-,18,2785,2359,1588,139,0,192846,11956,2785,2363,1588,2785,2359,1140,93,99,0,500,2967;
